YearMonth,Primary Type,Count
2019-06,VANDALISM,2531
2019-06,VEHICLE THEFT,773
2019-07,ARSON,46
2019-07,ASSAULT,1931
2019-07,BATTERY,4874
2019-07,BURGLARY,928
2019-07,HOMICIDE,44
2019-07,NARCOTICS,1282
2019-07,OTHER,1480
2019-07,ROBBERY,776
2019-07,THEFT,6000
2019-07,TRESPASSING,626
2019-07,VANDALISM,2597
2019-07,VEHICLE THEFT,885
2019-08,ARSON,36
2019-08,ASSAULT,1833
2019-08,BATTERY,4557
2019-08,BURGLARY,904
2019-08,HOMICIDE,51
2019-08,NARCOTICS,1443
2019-08,OTHER,1341
2019-08,ROBBERY,769
2019-08,THEFT,6174
2019-08,TRESPASSING,591
2019-08,VANDALISM,2567
2019-08,VEHICLE THEFT,843
2019-09,ARSON,29
2019-09,ASSAULT,1791
2019-09,BATTERY,4321
2019-09,BURGLARY,875
2019-09,HOMICIDE,51
2019-09,NARCOTICS,1207
2019-09,OTHER,1361
2019-09,ROBBERY,692
2019-09,THEFT,5445
2019-09,TRESPASSING,611
2019-09,VANDALISM,2370
2019-09,VEHICLE THEFT,679
2019-10,ARSON,28
2019-10,ASSAULT,1728
2019-10,BATTERY,3863
2019-10,BURGLARY,863
2019-10,HOMICIDE,42
2019-10,NARCOTICS,1188
2019-10,OTHER,1398
2019-10,ROBBERY,686
2019-10,THEFT,5393
2019-10,TRESPASSING,578
2019-10,VANDALISM,2328
2019-10,VEHICLE THEFT,727
2019-11,ARSON,32
2019-11,ASSAULT,1474
2019-11,BATTERY,3673
2019-11,BURGLARY,792
2019-11,HOMICIDE,34
2019-11,NARCOTICS,1122
2019-11,OTHER,1212
2019-11,ROBBERY,666
2019-11,THEFT,4888
2019-11,TRESPASSING,543
2019-11,VANDALISM,1990
2019-11,VEHICLE THEFT,692
2019-12,ARSON,41
2019-12,ASSAULT,1537
2019-12,BATTERY,3820
2019-12,BURGLARY,827
2019-12,HOMICIDE,34
2019-12,NARCOTICS,1086
2019-12,OTHER,1209
2019-12,ROBBERY,744
2019-12,THEFT,5459
2019-12,TRESPASSING,509
2019-12,VANDALISM,1987
2019-12,VEHICLE THEFT,767
2020-01,ARSON,23
2020-01,ASSAULT,1520
2020-01,BATTERY,3607
2020-01,BURGLARY,740
2020-01,HOMICIDE,36
2020-01,NARCOTICS,1292
2020-01,OTHER,1425
2020-01,ROBBERY,726
2020-01,THEFT,4610
2020-01,TRESPASSING,575
2020-01,VANDALISM,1792
2020-01,VEHICLE THEFT,669
2020-02,ARSON,31
2020-02,ASSAULT,1386
2020-02,BATTERY,3388
2020-02,BURGLARY,619
2020-02,HOMICIDE,38
2020-02,NARCOTICS,1177
2020-02,OTHER,1245
2020-02,ROBBERY,637
2020-02,THEFT,4176
2020-02,TRESPASSING,534
2020-02,VANDALISM,1742
2020-02,VEHICLE THEFT,653
2020-03,ARSON,27
2020-03,ASSAULT,1477
2020-03,BATTERY,3562
2020-03,BURGLARY,568
2020-03,HOMICIDE,30
2020-03,NARCOTICS,741
2020-03,OTHER,1115
2020-03,ROBBERY,495
2020-03,THEFT,3535
2020-03,TRESPASSING,394
2020-03,VANDALISM,1892
2020-03,VEHICLE THEFT,628
2020-04,ARSON,36
2020-04,ASSAULT,1112
2020-04,BATTERY,2693
2020-04,BURGLARY,528
2020-04,HOMICIDE,62
2020-04,NARCOTICS,179
2020-04,OTHER,743
2020-04,ROBBERY,455
2020-04,THEFT,2508
2020-04,TRESPASSING,235
2020-04,VANDALISM,1785
2020-04,VEHICLE THEFT,659
2020-05,ARSON,78
2020-05,ASSAULT,1488
2020-05,BATTERY,3505
2020-05,BURGLARY,1323
2020-05,HOMICIDE,86
2020-05,NARCOTICS,484
2020-05,OTHER,880
2020-05,ROBBERY,599
2020-05,THEFT,2925
2020-05,TRESPASSING,277
2020-05,VANDALISM,2478
2020-05,VEHICLE THEFT,829
2020-06,ARSON,74
2020-06,ASSAULT,1726
2020-06,BATTERY,3924
2020-06,BURGLARY,754
2020-06,HOMICIDE,94
2020-06,NARCOTICS,339
2020-06,OTHER,969
2020-06,ROBBERY,574
2020-06,THEFT,3086
2020-06,TRESPASSING,285
2020-06,VANDALISM,2451
2020-06,VEHICLE THEFT,794
2020-07,ARSON,63
2020-07,ASSAULT,1892
2020-07,BATTERY,4153
2020-07,BURGLARY,738
2020-07,HOMICIDE,111
2020-07,NARCOTICS,517
2020-07,OTHER,1120
2020-07,ROBBERY,734
2020-07,THEFT,3676
2020-07,TRESPASSING,309
2020-07,VANDALISM,2504
2020-07,VEHICLE THEFT,959
2020-08,ARSON,57
2020-08,ASSAULT,1836
2020-08,BATTERY,4076
2020-08,BURGLARY,1062
2020-08,HOMICIDE,68
2020-08,NARCOTICS,552
2020-08,OTHER,1100
2020-08,ROBBERY,816
2020-08,THEFT,3886
2020-08,TRESPASSING,342
2020-08,VANDALISM,2366
2020-08,VEHICLE THEFT,996
2020-09,ARSON,56
2020-09,ASSAULT,1699
2020-09,BATTERY,3446
2020-09,BURGLARY,615
2020-09,HOMICIDE,83
2020-09,NARCOTICS,560
2020-09,OTHER,1062
2020-09,ROBBERY,743
2020-09,THEFT,3622
2020-09,TRESPASSING,374
2020-09,VANDALISM,2169
2020-09,VEHICLE THEFT,921
2020-10,ARSON,54
2020-10,ASSAULT,1512
2020-10,BATTERY,3415
2020-10,BURGLARY,643
2020-10,HOMICIDE,68
2020-10,NARCOTICS,626
2020-10,OTHER,1064
2020-10,ROBBERY,756
2020-10,THEFT,3430
2020-10,TRESPASSING,315
2020-10,VANDALISM,2144
2020-10,VEHICLE THEFT,1000
2020-11,ARSON,49
2020-11,ASSAULT,1336
2020-11,BATTERY,3019
2020-11,BURGLARY,619
2020-11,HOMICIDE,63
2020-11,NARCOTICS,509
2020-11,OTHER,949
2020-11,ROBBERY,755
2020-11,THEFT,2968
2020-11,TRESPASSING,271
2020-11,VANDALISM,1888
2020-11,VEHICLE THEFT,939
2020-12,ARSON,40
2020-12,ASSAULT,1275
2020-12,BATTERY,2729
2020-12,BURGLARY,549
2020-12,HOMICIDE,57
2020-12,NARCOTICS,517
2020-12,OTHER,936
2020-12,ROBBERY,565
2020-12,THEFT,2924
2020-12,TRESPASSING,265
2020-12,VANDALISM,1670
2020-12,VEHICLE THEFT,912
2021-01,ARSON,39
2021-01,ASSAULT,1339
2021-01,BATTERY,2779
2021-01,BURGLARY,486
2021-01,HOMICIDE,55
2021-01,NARCOTICS,509
2021-01,OTHER,1036
2021-01,ROBBERY,728
2021-01,THEFT,2669
2021-01,TRESPASSING,254
2021-01,VANDALISM,1727
2021-01,VEHICLE THEFT,801
2021-02,ARSON,23
2021-02,ASSAULT,1284
2021-02,BATTERY,2438
2021-02,BURGLARY,351
2021-02,HOMICIDE,39
2021-02,NARCOTICS,608
2021-02,OTHER,954
2021-02,ROBBERY,479
2021-02,THEFT,2125
2021-02,TRESPASSING,214
2021-02,VANDALISM,1457
2021-02,VEHICLE THEFT,630
2021-03,ARSON,49
2021-03,ASSAULT,1451
2021-03,BATTERY,3102
2021-03,BURGLARY,394
2021-03,HOMICIDE,45
2021-03,NARCOTICS,816
2021-03,OTHER,1163
2021-03,ROBBERY,482
2021-03,THEFT,2740
2021-03,TRESPASSING,279
2021-03,VANDALISM,1896
2021-03,VEHICLE THEFT,787
2021-04,ARSON,41
2021-04,ASSAULT,1601
2021-04,BATTERY,3078
2021-04,BURGLARY,416
2021-04,HOMICIDE,55
2021-04,NARCOTICS,502
2021-04,OTHER,1194
2021-04,ROBBERY,466
2021-04,THEFT,2801
2021-04,TRESPASSING,271
2021-04,VANDALISM,1948
2021-04,VEHICLE THEFT,713
2021-05,ARSON,49
2021-05,ASSAULT,1800
2021-05,BATTERY,3678
2021-05,BURGLARY,472
2021-05,HOMICIDE,66
2021-05,NARCOTICS,568
2021-05,OTHER,1350
2021-05,ROBBERY,506
2021-05,THEFT,3272
2021-05,TRESPASSING,272
2021-05,VANDALISM,2288
2021-05,VEHICLE THEFT,748
2021-06,ARSON,50
2021-06,ASSAULT,1905
2021-06,BATTERY,3846
2021-06,BURGLARY,509
2021-06,HOMICIDE,85
2021-06,NARCOTICS,481
2021-06,OTHER,1419
2021-06,ROBBERY,600
2021-06,THEFT,3504
2021-06,TRESPASSING,279
2021-06,VANDALISM,2317
2021-06,VEHICLE THEFT,834
2021-07,ARSON,51
2021-07,ASSAULT,1956
2021-07,BATTERY,3889
2021-07,BURGLARY,556
2021-07,HOMICIDE,112
2021-07,NARCOTICS,399
2021-07,OTHER,1220
2021-07,ROBBERY,712
2021-07,THEFT,3965
2021-07,TRESPASSING,308
2021-07,VANDALISM,2490
2021-07,VEHICLE THEFT,838
2021-08,ARSON,48
2021-08,ASSAULT,1872
2021-08,BATTERY,3806
2021-08,BURGLARY,600
2021-08,HOMICIDE,83
2021-08,NARCOTICS,357
2021-08,OTHER,1136
2021-08,ROBBERY,655
2021-08,THEFT,3890
2021-08,TRESPASSING,283
2021-08,VANDALISM,2323
2021-08,VEHICLE THEFT,911
2021-09,ARSON,46
2021-09,ASSAULT,2039
2021-09,BATTERY,3830
2021-09,BURGLARY,668
2021-09,HOMICIDE,92
2021-09,NARCOTICS,291
2021-09,OTHER,1192
2021-09,ROBBERY,773
2021-09,THEFT,3952
2021-09,TRESPASSING,338
2021-09,VANDALISM,2298
2021-09,VEHICLE THEFT,1016
2021-10,ARSON,44
2021-10,ASSAULT,1872
2021-10,BATTERY,3756
2021-10,BURGLARY,757
2021-10,HOMICIDE,63
2021-10,NARCOTICS,326
2021-10,OTHER,1191
2021-10,ROBBERY,837
2021-10,THEFT,4228
2021-10,TRESPASSING,327
2021-10,VANDALISM,2246
2021-10,VEHICLE THEFT,1163
2021-11,ARSON,43
2021-11,ASSAULT,1629
2021-11,BATTERY,3101
2021-11,BURGLARY,733
2021-11,HOMICIDE,62
2021-11,NARCOTICS,305
2021-11,OTHER,1072
2021-11,ROBBERY,781
2021-11,THEFT,3843
2021-11,TRESPASSING,303
2021-11,VANDALISM,2087
2021-11,VEHICLE THEFT,1067
2021-12,ARSON,47
2021-12,ASSAULT,1595
2021-12,BATTERY,3171
2021-12,BURGLARY,719
2021-12,HOMICIDE,54
2021-12,NARCOTICS,257
2021-12,OTHER,1029
2021-12,ROBBERY,901
2021-12,THEFT,3830
2021-12,TRESPASSING,278
2021-12,VANDALISM,2019
2021-12,VEHICLE THEFT,1097
2022-01,ARSON,26
2022-01,ASSAULT,1324
2022-01,BATTERY,2848
2022-01,BURGLARY,579
2022-01,HOMICIDE,55
2022-01,NARCOTICS,271
2022-01,OTHER,1076
2022-01,ROBBERY,686
2022-01,THEFT,3393
2022-01,TRESPASSING,263
2022-01,VANDALISM,1688
2022-01,VEHICLE THEFT,1107
2022-02,ARSON,26
2022-02,ASSAULT,1393
2022-02,BATTERY,2760
2022-02,BURGLARY,509
2022-02,HOMICIDE,45
2022-02,NARCOTICS,471
2022-02,OTHER,1110
2022-02,ROBBERY,616
2022-02,THEFT,3332
2022-02,TRESPASSING,291
2022-02,VANDALISM,1554
2022-02,VEHICLE THEFT,963
2022-03,ARSON,23
2022-03,ASSAULT,1627
2022-03,BATTERY,3353
2022-03,BURGLARY,578
2022-03,HOMICIDE,39
2022-03,NARCOTICS,509
2022-03,OTHER,1384
2022-03,ROBBERY,590
2022-03,THEFT,4170
2022-03,TRESPASSING,363
2022-03,VANDALISM,1988
2022-03,VEHICLE THEFT,1076
2022-04,ARSON,33
2022-04,ASSAULT,1560
2022-04,BATTERY,3373
2022-04,BURGLARY,561
2022-04,HOMICIDE,54
2022-04,NARCOTICS,478
2022-04,OTHER,1356
2022-04,ROBBERY,601
2022-04,THEFT,3933
2022-04,TRESPASSING,355
2022-04,VANDALISM,2033
2022-04,VEHICLE THEFT,1001
2022-05,ARSON,44
2022-05,ASSAULT,1978
2022-05,BATTERY,3932
2022-05,BURGLARY,605
2022-05,HOMICIDE,66
2022-05,NARCOTICS,411
2022-05,OTHER,1367
2022-05,ROBBERY,669
2022-05,THEFT,4501
2022-05,TRESPASSING,389
2022-05,VANDALISM,2192
2022-05,VEHICLE THEFT,1034
2022-06,ARSON,37
2022-06,ASSAULT,2012
2022-06,BATTERY,3847
2022-06,BURGLARY,674
2022-06,HOMICIDE,73
2022-06,NARCOTICS,389
2022-06,OTHER,1319
2022-06,ROBBERY,732
2022-06,THEFT,5049
2022-06,TRESPASSING,365
2022-06,VANDALISM,2328
2022-06,VEHICLE THEFT,1138
2022-07,ARSON,39
2022-07,ASSAULT,1964
2022-07,BATTERY,3753
2022-07,BURGLARY,700
2022-07,HOMICIDE,69
2022-07,NARCOTICS,371
2022-07,OTHER,1312
2022-07,ROBBERY,764
2022-07,THEFT,5736
2022-07,TRESPASSING,382
2022-07,VANDALISM,2568
2022-07,VEHICLE THEFT,1766
2022-08,ARSON,40
2022-08,ASSAULT,1985
2022-08,BATTERY,3746
2022-08,BURGLARY,672
2022-08,HOMICIDE,70
2022-08,NARCOTICS,422
2022-08,OTHER,1217
2022-08,ROBBERY,750
2022-08,THEFT,5255
2022-08,TRESPASSING,392
2022-08,VANDALISM,2714
2022-08,VEHICLE THEFT,2115
2022-09,ARSON,49
2022-09,ASSAULT,1895
2022-09,BATTERY,3728
2022-09,BURGLARY,655
2022-09,HOMICIDE,77
2022-09,NARCOTICS,382
2022-09,OTHER,1149
2022-09,ROBBERY,869
2022-09,THEFT,5125
2022-09,TRESPASSING,378
2022-09,VANDALISM,2620
2022-09,VEHICLE THEFT,2410
2022-10,ARSON,41
2022-10,ASSAULT,1840
2022-10,BATTERY,3508
2022-10,BURGLARY,690
2022-10,HOMICIDE,66
2022-10,NARCOTICS,362
2022-10,OTHER,1172
2022-10,ROBBERY,943
2022-10,THEFT,5248
2022-10,TRESPASSING,374
2022-10,VANDALISM,2835
2022-10,VEHICLE THEFT,3186
2022-11,ARSON,29
2022-11,ASSAULT,1661
2022-11,BATTERY,3089
2022-11,BURGLARY,675
2022-11,HOMICIDE,59
2022-11,NARCOTICS,346
2022-11,OTHER,1067
2022-11,ROBBERY,847
2022-11,THEFT,4725
2022-11,TRESPASSING,330
2022-11,VANDALISM,2461
2022-11,VEHICLE THEFT,2954
2022-12,ARSON,35
2022-12,ASSAULT,1571
2022-12,BATTERY,3015
2022-12,BURGLARY,696
2022-12,HOMICIDE,61
2022-12,NARCOTICS,345
2022-12,OTHER,1090
2022-12,ROBBERY,897
2022-12,THEFT,4425
2022-12,TRESPASSING,340
2022-12,VANDALISM,2267
2022-12,VEHICLE THEFT,2717
2023-01,ARSON,46
2023-01,ASSAULT,1703
2023-01,BATTERY,3185
2023-01,BURGLARY,678
2023-01,HOMICIDE,45
2023-01,NARCOTICS,559
2023-01,OTHER,1287
2023-01,ROBBERY,891
2023-01,THEFT,4310
2023-01,TRESPASSING,386
2023-01,VANDALISM,2393
2023-01,VEHICLE THEFT,2820
2023-02,ARSON,33
2023-02,ASSAULT,1492
2023-02,BATTERY,3061
2023-02,BURGLARY,542
2023-02,HOMICIDE,39
2023-02,NARCOTICS,548
2023-02,OTHER,1205
2023-02,ROBBERY,582
2023-02,THEFT,3829
2023-02,TRESPASSING,382
2023-02,VANDALISM,1937
2023-02,VEHICLE THEFT,2171
2023-03,ARSON,29
2023-03,ASSAULT,1762
2023-03,BATTERY,3408
2023-03,BURGLARY,570
2023-03,HOMICIDE,38
2023-03,NARCOTICS,475
2023-03,OTHER,1411
2023-03,ROBBERY,686
2023-03,THEFT,4471
2023-03,TRESPASSING,441
2023-03,VANDALISM,2328
2023-03,VEHICLE THEFT,2325
2023-04,ARSON,37
2023-04,ASSAULT,1815
2023-04,BATTERY,3615
2023-04,BURGLARY,598
2023-04,HOMICIDE,58
2023-04,NARCOTICS,375
2023-04,OTHER,1238
2023-04,ROBBERY,752
2023-04,THEFT,4375
2023-04,TRESPASSING,362
2023-04,VANDALISM,2440
2023-04,VEHICLE THEFT,2293
2023-05,ARSON,56
2023-05,ASSAULT,2025
2023-05,BATTERY,3964
2023-05,BURGLARY,613
2023-05,HOMICIDE,65
2023-05,NARCOTICS,385
2023-05,OTHER,1260
2023-05,ROBBERY,772
2023-05,THEFT,4743
2023-05,TRESPASSING,389
2023-05,VANDALISM,2590
2023-05,VEHICLE THEFT,2436
2023-06,ARSON,49
2023-06,ASSAULT,2034
2023-06,BATTERY,3884
2023-06,BURGLARY,600
2023-06,HOMICIDE,72
2023-06,NARCOTICS,418
2023-06,OTHER,1363
2023-06,ROBBERY,783
2023-06,THEFT,5089
2023-06,TRESPASSING,364
2023-06,VANDALISM,2645
2023-06,VEHICLE THEFT,2564
2023-07,ARSON,45
2023-07,ASSAULT,2049
2023-07,BATTERY,4219
2023-07,BURGLARY,635
2023-07,HOMICIDE,61
2023-07,NARCOTICS,428
2023-07,OTHER,1363
2023-07,ROBBERY,1010
2023-07,THEFT,5195
2023-07,TRESPASSING,397
2023-07,VANDALISM,2966
2023-07,VEHICLE THEFT,2631
2023-08,ARSON,34
2023-08,ASSAULT,2121
2023-08,BATTERY,4057
2023-08,BURGLARY,651
2023-08,HOMICIDE,59
2023-08,NARCOTICS,470
2023-08,OTHER,1315
2023-08,ROBBERY,1212
2023-08,THEFT,5419
2023-08,TRESPASSING,407
2023-08,VANDALISM,2763
2023-08,VEHICLE THEFT,2618
2023-09,ARSON,55
2023-09,ASSAULT,2055
2023-09,BATTERY,3970
2023-09,BURGLARY,640
2023-09,HOMICIDE,48
2023-09,NARCOTICS,407
2023-09,OTHER,1285
2023-09,ROBBERY,1144
2023-09,THEFT,4953
2023-09,TRESPASSING,381
2023-09,VANDALISM,2529
2023-09,VEHICLE THEFT,2339
2023-10,ARSON,43
2023-10,ASSAULT,1984
2023-10,BATTERY,3852
2023-10,BURGLARY,653
2023-10,HOMICIDE,54
2023-10,NARCOTICS,451
2023-10,OTHER,1332
2023-10,ROBBERY,1208
2023-10,THEFT,5216
2023-10,TRESPASSING,413
2023-10,VANDALISM,2624
2023-10,VEHICLE THEFT,2569
2023-11,ARSON,38
2023-11,ASSAULT,1797
2023-11,BATTERY,3484
2023-11,BURGLARY,681
2023-11,HOMICIDE,55
2023-11,NARCOTICS,492
2023-11,OTHER,1342
2023-11,ROBBERY,1016
2023-11,THEFT,4810
2023-11,TRESPASSING,415
2023-11,VANDALISM,2423
2023-11,VEHICLE THEFT,2274
2023-12,ARSON,48
2023-12,ASSAULT,1790
2023-12,BATTERY,3529
2023-12,BURGLARY,620
2023-12,HOMICIDE,39
2023-12,NARCOTICS,445
2023-12,OTHER,1304
2023-12,ROBBERY,996
2023-12,THEFT,5064
2023-12,TRESPASSING,383
2023-12,VANDALISM,2451
2023-12,VEHICLE THEFT,2213
2024-01,ARSON,43
2024-01,ASSAULT,1728
2024-01,BATTERY,3285
2024-01,BURGLARY,551
2024-01,HOMICIDE,34
2024-01,NARCOTICS,538
2024-01,OTHER,1489
2024-01,ROBBERY,734
2024-01,THEFT,4376
2024-01,TRESPASSING,378
2024-01,VANDALISM,2108
2024-01,VEHICLE THEFT,1768
2024-02,ARSON,32
2024-02,ASSAULT,1735
2024-02,BATTERY,3472
2024-02,BURGLARY,544
2024-02,HOMICIDE,33
2024-02,NARCOTICS,559
2024-02,OTHER,1483
2024-02,ROBBERY,669
2024-02,THEFT,4349
2024-02,TRESPASSING,383
2024-02,VANDALISM,2188
2024-02,VEHICLE THEFT,1880
2024-03,ARSON,44
2024-03,ASSAULT,1890
2024-03,BATTERY,3682
2024-03,BURGLARY,594
2024-03,HOMICIDE,47
2024-03,NARCOTICS,549
2024-03,OTHER,1445
2024-03,ROBBERY,746
2024-03,THEFT,4491
2024-03,TRESPASSING,402
2024-03,VANDALISM,2468
2024-03,VEHICLE THEFT,1881
2024-04,ARSON,34
2024-04,ASSAULT,1968
2024-04,BATTERY,3786
2024-04,BURGLARY,601
2024-04,HOMICIDE,41
2024-04,NARCOTICS,436
2024-04,OTHER,1366
2024-04,ROBBERY,719
2024-04,THEFT,4543
2024-04,TRESPASSING,402
2024-04,VANDALISM,2253
2024-04,VEHICLE THEFT,1653
2024-05,ARSON,49
2024-05,ASSAULT,2289
2024-05,BATTERY,4444
2024-05,BURGLARY,763
2024-05,HOMICIDE,56
2024-05,NARCOTICS,426
2024-05,OTHER,1494
2024-05,ROBBERY,780
2024-05,THEFT,5190
2024-05,TRESPASSING,397
2024-05,VANDALISM,2406
2024-05,VEHICLE THEFT,1809
2024-06,ARSON,49
2024-06,ASSAULT,2076
2024-06,BATTERY,4290
2024-06,BURGLARY,626
2024-06,HOMICIDE,67
2024-06,NARCOTICS,443
2024-06,OTHER,1403
2024-06,ROBBERY,818
2024-06,THEFT,5477
2024-06,TRESPASSING,396
2024-06,VANDALISM,2577
2024-06,VEHICLE THEFT,2046
2024-07,ARSON,36
2024-07,ASSAULT,2122
2024-07,BATTERY,4135
2024-07,BURGLARY,763
2024-07,HOMICIDE,70
2024-07,NARCOTICS,534
2024-07,OTHER,1454
2024-07,ROBBERY,884
2024-07,THEFT,6049
2024-07,TRESPASSING,448
2024-07,VANDALISM,2598
2024-07,VEHICLE THEFT,1978
2024-08,ARSON,47
2024-08,ASSAULT,2042
2024-08,BATTERY,3898
2024-08,BURGLARY,764
2024-08,HOMICIDE,55
2024-08,NARCOTICS,442
2024-08,OTHER,1317
2024-08,ROBBERY,768
2024-08,THEFT,5701
2024-08,TRESPASSING,441
2024-08,VANDALISM,2588
2024-08,VEHICLE THEFT,2011
2024-09,ARSON,45
2024-09,ASSAULT,2121
2024-09,BATTERY,4158
2024-09,BURGLARY,833
2024-09,HOMICIDE,49
2024-09,NARCOTICS,427
2024-09,OTHER,1581
2024-09,ROBBERY,774
2024-09,THEFT,5367
2024-09,TRESPASSING,406
2024-09,VANDALISM,2508
2024-09,VEHICLE THEFT,1868
2024-10,ARSON,41
2024-10,ASSAULT,2141
2024-10,BATTERY,3935
2024-10,BURGLARY,841
2024-10,HOMICIDE,55
2024-10,NARCOTICS,508
2024-10,OTHER,1373
2024-10,ROBBERY,780
2024-10,THEFT,5474
2024-10,TRESPASSING,461
2024-10,VANDALISM,2492
2024-10,VEHICLE THEFT,1748
2024-11,ARSON,32
2024-11,ASSAULT,1709
2024-11,BATTERY,3441
2024-11,BURGLARY,757
2024-11,HOMICIDE,38
2024-11,NARCOTICS,573
2024-11,OTHER,1248
2024-11,ROBBERY,759
2024-11,THEFT,4662
2024-11,TRESPASSING,402
2024-11,VANDALISM,2188
2024-11,VEHICLE THEFT,1561
2024-12,ARSON,30
2024-12,ASSAULT,1624
2024-12,BATTERY,3530
2024-12,BURGLARY,776
2024-12,HOMICIDE,42
2024-12,NARCOTICS,533
2024-12,OTHER,1312
2024-12,ROBBERY,691
2024-12,THEFT,4631
2024-12,TRESPASSING,428
2024-12,VANDALISM,2156
2024-12,VEHICLE THEFT,1470
